Pressure,Flow_Rate,Temperature,Vibration,RPM,Operational_Hours,Zone,Block,Pipe,Location_Code,Latitude,Longitude,Leakage_Flag
37.39,49.49,101.82,3.2944,2218.59,9338,Zone_4,Block_5,Pipe_2,Zone_4_Block_5_Pipe_2,25.147102,55.227004,0
49.63,68.3,96.26,2.2621,2326.8,5454,Zone_3,Block_5,Pipe_2,Zone_3_Block_5_Pipe_2,25.095381,55.15842,0
56.51,66.74,112.23,2.8922,2514.82,8153,Zone_1,Block_1,Pipe_3,Zone_1_Block_1_Pipe_3,25.198458,55.272623,0
60.02,58.1,102.41,2.5053,1934.06,8250,Zone_3,Block_3,Pipe_5,Zone_3_Block_3_Pipe_5,25.094449,55.16578,0
70.74,109.74,100.77,2.9264,1496.87,5906,Zone_1,Block_3,Pipe_4,Zone_1_Block_3_Pipe_4,25.199382,55.269522,0
74.56,104.7,96.82,2.7949,1692.15,2931,Zone_1,Block_2,Pipe_5,Zone_1_Block_2_Pipe_5,25.20212,55.271409,0
62.36,69.98,99.07,3.039,2465.34,8425,Zone_5,Block_3,Pipe_5,Zone_5_Block_3_Pipe_5,25.199289,55.284262,0
71.39,86.84,97.62,2.7885,1717.94,7673,Zone_2,Block_1,Pipe_5,Zone_2_Block_1_Pipe_5,25.283953,55.290112,0
58.56,81.82,96.93,2.8666,1998.68,2038,Zone_3,Block_1,Pipe_1,Zone_3_Block_1_Pipe_1,25.093477,55.157256,0
59.44,79.1,96.7,3.8273,1702.95,4443,Zone_5,Block_5,Pipe_4,Zone_5_Block_5_Pipe_4,25.190191,55.278689,0
77.55,80.33,92.83,3.0593,1902.67,5489,Zone_5,Block_4,Pipe_2,Zone_5_Block_4_Pipe_2,25.194549,55.284688,0
57.61,81.15,88.43,3.6335,2455.88,8587,Zone_2,Block_5,Pipe_5,Zone_2_Block_5_Pipe_5,25.291945,55.303051,0
49.22,79.16,104.03,2.2016,1583.3,1167,Zone_4,Block_2,Pipe_4,Zone_4_Block_2_Pipe_4,25.158901,55.23115,0
60.81,96.9,95.32,2.6852,2065.75,8806,Zone_2,Block_3,Pipe_3,Zone_2_Block_3_Pipe_3,25.276207,55.298479,0
63.61,92.02,100.54,2.9546,2161.47,9985,Zone_3,Block_5,Pipe_2,Zone_3_Block_5_Pipe_2,25.099917,55.161949,0
50.52,96.39,92.54,3.202,1857.81,9098,Zone_4,Block_5,Pipe_1,Zone_4_Block_5_Pipe_1,25.146179,55.225652,1
66.33,104.65,97.56,3.0553,1794.79,5451,Zone_1,Block_3,Pipe_1,Zone_1_Block_3_Pipe_1,25.208564,55.274698,0
61.54,109.46,96.42,3.0787,1679.65,5388,Zone_3,Block_1,Pipe_4,Zone_3_Block_1_Pipe_4,25.098408,55.16467,0
48.57,81.48,96.07,4.0467,2072.88,5457,Zone_2,Block_5,Pipe_5,Zone_2_Block_5_Pipe_5,25.27593,55.300059,0
59.03,76.51,91.27,2.5112,1459.0,4796,Zone_5,Block_2,Pipe_3,Zone_5_Block_2_Pipe_3,25.194437,55.281059,0
56.67,67.8,99.68,3.029,2187.69,5723,Zone_5,Block_2,Pipe_3,Zone_5_Block_2_Pipe_3,25.19653,55.288522,0
69.22,57.93,98.67,3.5144,1763.84,2125,Zone_5,Block_3,Pipe_1,Zone_5_Block_3_Pipe_1,25.20407,55.289308,0
68.14,54.48,110.22,3.0183,1770.87,3736,Zone_2,Block_1,Pipe_1,Zone_2_Block_1_Pipe_1,25.278281,55.296855,0
69.67,88.42,104.35,3.3194,2361.27,5125,Zone_2,Block_5,Pipe_5,Zone_2_Block_5_Pipe_5,25.271995,55.303708,0
46.65,70.79,98.34,3.1157,1924.48,7638,Zone_2,Block_2,Pipe_5,Zone_2_Block_2_Pipe_5,25.268846,55.287525,0
45.08,100.43,109.82,3.2556,1585.15,8131,Zone_3,Block_3,Pipe_3,Zone_3_Block_3_Pipe_3,25.096227,55.166285,1
66.45,74.87,95.05,2.7666,1728.42,3057,Zone_4,Block_2,Pipe_4,Zone_4_Block_2_Pipe_4,25.140363,55.228646,0
